id,type,text1,text2,text3,text4,notes
xdp_blockhead,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.

At a glance, this amusingly named vessel, the 'Blockhead', appears to be just another automated weapon platform of the Domain Explorarium, as well as a ""support"" vessel used to crush any group that would rebel against the Domain's ironclad authority. However, it differs greatly from other comparable droneships by having an integrated Damper Field of suspiciously high quality, capable of mitigating damage to the degree of a modern example as seen in vessels such as the Vanguard and Mora.  No doubt this ship was used as a relatively small anvil to break anything that could hypothetically threaten one of the great survey ships of the Domain... or anything that could hypothetically threaten the Domain itself from within. ",,,,
xdp_superderelict,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.

Nothing the Domain's survey motherships' clunky autofabs could have produced would have had specs like the Shrisse. There is some standard droneship frame in it, yes, but it's buried under worryingly smooth and sleek panels. A project of some admiral with a fleeting grasp of reality, or a corrupted forge could be an explanation if not for the obvious purpose in its design. It would not be able to move the way it does if it wasn't built with purpose. Twin EMP emitters, combined with a mount that can fit any weapon types, and its absurd mobility results in something that any spacer would dismiss as legend if told about it without proof. Perhaps inquiring into this ship's origin is not a good idea.",,,,
xdp_derelict_messenger,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
miningblaster_builtin,WEAPON,"An example of the unnerving ability of machine intelligences to improve upon existing designs, this weapon utilizes the same fundamental design of the venerated mining blaster. Though, it's internal components have been upgraded and upscaled in order to produce bolts with far more range, and destructive capability than the meagre weapon it originated from. A near-guaranteed death sentence for any ship with it's shields down, vessels fielding it should take priority.",,,,
xdp_hermod,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.",,,,
xdp_derelominator,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.

I don't understand it. This ship has no right to exist. The databanks of even the greatest of the Explorarium's survey motherships didn't feature schematics for anything close to a Dominator. And yet here this hull floats, raked by a thousand Hephaestus shells, and still stubbornly intact. The internal systems failed before the hull did.
But... how? Bit flips by hard radiation over the centuries can't explain a near perfect reproduction of a Dominator's hull form. Are the survey ships learning somehow? That shouldn't be possible. They weren't designed to do that. They weren't given the processing power to do that.
If this gets out, COMSEC is going to be so far up our asses they'll find a lost Planetkiller.",,,,
xdp_templar,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.",,,,
xdp_trinarch,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.

Integrated impossibly seamlessly for what the Domain Explorarium's motherships should be capable of producing, the Trinarch class' infrastructure is recognizably modeled after that of TriTachyon's automated warships, with many individual components being nearly identical to those seen within them. Though from what tests have been conducted, they are ultimately incompatible with standard drone ships, unless modifications, albeit light ones, are made. A troubling example of rogue machine intelligence.

❝We need to find out what's causing this. From other reports, and accounts from independent spacers, these things are becoming more and more common. Not even just the 'lesser' ones, but the bigger ones too. Eighteen percent. An eighteen percent increase in activity, in the last four cycles alone. If we don't handle this, if we keep ignoring it... we're going to have another war on our hands. End report.❝",,,,
xdp_luminance,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. This vessel, however, bears little resemblance to its Explorarium sisters, save for the Domain of Man's signature livery proudly plastered across its hull. Smooth and rounded armor plating, symmetrical design, energy shielding, and advanced systems set this vessel far apart from the Domain's known combat drone doctrine.

A terrifyingly agile and maneuverable destroyer-sized vessel, the Luminance's combat performance and almost-unnatural maneuvers are something that no human crew could sustain for any meaningful amount of time without suffering serious injury, or death. Furthermore, the nature of it's Blink Drive, what appears to be a heavily modified phase-skimming array integrated with phase coil technology, would place un-due strain on the bodies of biological crew. Psychological effects can only be guessed at. 

Though past Domain-era research points to Artificial Intelligence suffering rapid degradation and corruption when undergoing phase-space dives, the Luminance class' core housing has been engineered specially to protect and shield against these effects. Still, it isn't a perfect solution, as analysis shows that the influence of this other realm is not fully abated. Given the fact that the ship is not a one-off, though, it is evidently good enough of a design to prevent--or rather, prolong the corruption of it's artificial pilots to an acceptable degree.",,,,
xdp_derelict_blockhead,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

At a glance, this amusingly named vessel, the 'Blockhead', appears to be just another automated weapon platform of the Domain Explorarium, as well as a ""support"" vessel used to crush any group that would rebel against the Domain's ironclad authority. However, it differs greatly from other comparable droneships by having an integrated Damper Field of suspiciously high quality, capable of mitigating damage to the degree of a modern example as seen in vessels such as the Vanguard and Mora.  No doubt this ship was used as a relatively small anvil to break anything that could hypothetically threaten one of the great survey ships of the Domain... or anything that could hypothetically threaten the Domain itself from within. ",,,,
messenger_builtin,WEAPON,"Based loosely on the Devastator cannon, the Herald Defense Cannon is a potent point-defense weapon engineered specifically for usage within the domain's Explorarium fleets. It is a potent piece of artillery, and should not be underestimated.",,,,
xdp_gun_platform,SHIP,"A simple gun platform intended for usage within the fleets of the Domain's Drone Explorarium. Highly modular, this platform can be easily adjusted to suit various different roles. ",,,,
xdp_gun_platform2,SHIP,"A simple gun platform intended for usage within the fleets of the Domain's Drone Explorarium. Highly modular, this platform can be easily adjusted to suit various different roles. ",,,,
xdp_gun_platform3,SHIP,"A simple gun platform intended for usage within the fleets of the Domain's Drone Explorarium. Highly modular, this platform can be easily adjusted to suit various different roles. ",,,,
xdp_derelictbomber,SHIP,"Heavily armored and incredibly durable, this bomber platform is intended to be able to sustain heavy damage en route to a given target, being equipped with particularly heavy armor, and even the addition of an archaic damper field shielding system.",,,,
xdp_derelictfighter,SHIP,"Uncrewed and uncaring, this brutally simole fighter, while unelegant in form and in design, is brutally efficient in it's role.",,,,
xdp_rampartcarrier,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
xdp_siegecarrier,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
xdp_nemetor,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. This vessel, however, bears little resemblance to its Explorarium sisters, save for the Domain of Man's signature livery proudly plastered across its hull. Smooth and rounded armor plating, symmetrical design, energy shielding, and advanced systems set this vessel far apart from the Domain's known combat drone doctrine.

A thoroughbred battleship with heavy armor and even heavier armament, the Nemetor ixdp_ires fear as much as it wreaks destruction. Automated hull filled with experimental high-tech systems both matching and not to known technology, the most stand-out feature of this vessel is its highly volatile and presumably experimental flux-grid. Large amounts of hard-flux are continuously vented into a localized pocket of semi-stable p-space within the ship, and violently released upon use of a modified phase skimmer system via propagated disruption, resulting in an immense energy burst inflicting heavy damage to anything caught in the shockwave.

""It shouldn't have been possible- a ship the size of a Paragon, there one moment and somewhere else the next! I couldn't believe my eyes, the entire vessel had teleported a good few times its own length... then the shockwave hit. I was only saved because my harness failed and I got knocked into that escape pod. Ludd have mercy on us all..."" - Recovered cut interview from ""Stellar Madness: Stories of the Salvors"" documentary, released c.202",,,,
xdp_derelictvanguard,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
xdp_derelictpursuit,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
